snapshot_ts_ms,side,price,size
1779519136196,ask,0.035,609
1779519136196,ask,0.036,6200
1779519136196,ask,0.037,2222
1779519136196,ask,0.039,2922
1779519136196,ask,0.04,9005
1779519136196,ask,0.043,300
1779519136196,ask,0.044,999.99
1779519136196,ask,0.045,5800
1779519136196,ask,0.048,62
1779519136196,ask,0.049,4813.34
1779519136196,ask,0.05,7262.47
1779519136196,ask,0.051,145
1779519136196,ask,0.053,2222
1779519136196,ask,0.055,400
1779519136196,ask,0.058,2000
1779519136196,ask,0.059,4156.67
1779519136196,ask,0.06,30372.35
1779519136196,ask,0.064,5
1779519136196,ask,0.065,825
1779519136196,ask,0.07,1517
1779519136196,ask,0.071,383.46
1779519136196,ask,0.073,87
1779519136196,ask,0.074,47.61
1779519136196,ask,0.075,1000
1779519136196,ask,0.078,2156.68
1779519136196,ask,0.079,10000
1779519136196,ask,0.08,2172.85
1779519136196,ask,0.084,10000
1779519136196,ask,0.085,266.66
1779519136196,ask,0.089,500
1779519136196,ask,0.09,1653.25
1779519136196,ask,0.092,10000
1779519136196,ask,0.094,13000
1779519136196,ask,0.1,11758.72
1779519136196,ask,0.101,20000
1779519136196,ask,0.11,2168.53
1779519136196,ask,0.119,22493.21
1779519136196,ask,0.12,123036.39
1779519136196,ask,0.13,270533.57
1779519136196,ask,0.136,30
1779519136196,ask,0.15,40802.67
1779519136196,ask,0.16,800
1779519136196,ask,0.18,385.13
1779519136196,ask,0.198,1000
1779519136196,ask,0.199,10000
1779519136196,ask,0.2,10550.31
1779519136196,ask,0.24,100
1779519136196,ask,0.25,703
1779519136196,ask,0.3,9660.54
1779519136196,ask,0.31,168
1779519136196,ask,0.32,171.43
1779519136196,ask,0.35,123
1779519136196,ask,0.369,1000
1779519136196,ask,0.37,8595
1779519136196,ask,0.399,2000
1779519136196,ask,0.4,30872.04
1779519136196,ask,0.488,64
1779519136196,ask,0.49,15475.64
1779519136196,ask,0.5,19257.03
1779519136196,ask,0.547,1324
1779519136196,ask,0.548,502.3
1779519136196,ask,0.549,5000
1779519136196,ask,0.563,274.58
1779519136196,ask,0.598,1000
1779519136196,ask,0.6,25700
1779519136196,ask,0.641,423.39
1779519136196,ask,0.69,391
1779519136196,ask,0.699,500
1779519136196,ask,0.7,35216
1779519136196,ask,0.706,517
1779519136196,ask,0.744,128
1779519136196,ask,0.75,3149
1779519136196,ask,0.752,120.96
1779519136196,ask,0.78,62.5
1779519136196,ask,0.79,958
1779519136196,ask,0.791,497.6
1779519136196,ask,0.799,1000
1779519136196,ask,0.8,76287.5
1779519136196,ask,0.82,46.87
1779519136196,ask,0.85,1292
1779519136196,ask,0.87,597
1779519136196,ask,0.872,256
1779519136196,ask,0.879,1000
1779519136196,ask,0.88,58462.62
1779519136196,ask,0.89,1834
1779519136196,ask,0.9,14825
1779519136196,ask,0.92,71.43
1779519136196,ask,0.929,800
1779519136196,ask,0.93,55700.67
1779519136196,ask,0.936,1024
1779519136196,ask,0.949,10000
1779519136196,ask,0.95,108544.4
1779519136196,ask,0.968,2048
1779519136196,ask,0.98,10075
1779519136196,ask,0.983,109800
1779519136196,ask,0.984,4096
1779519136196,ask,0.989,10000
1779519136196,ask,0.99,10181.42
1779519136196,ask,0.991,120000
1779519136196,ask,0.992,241192
1779519136196,ask,0.995,30000
1779519136196,ask,0.996,32768
1779519136196,ask,0.997,10000
1779519136196,ask,0.998,65536
1779519136196,ask,0.999,406712
1779519246509,bid,0.005,121855.2
1779519246509,bid,0.004,133946.28
1779519246509,bid,0.003,325928.05
1779519246509,bid,0.002,315681.18
1779519246509,bid,0.001,998980.43
1779519246509,ask,0.006,123302.42
1779519246509,ask,0.007,167085.3
1779519246509,ask,0.008,79558.8
1779519246509,ask,0.009,126488.58
1779519246509,ask,0.01,36465.36
1779519246509,ask,0.011,5657.24
1779519246509,ask,0.012,24338.12
1779519246509,ask,0.013,47673.57
1779519246509,ask,0.014,56455
1779519246509,ask,0.015,4620.84
1779519246509,ask,0.016,56955
1779519246509,ask,0.017,114210
1779519246509,ask,0.018,500
1779519246509,ask,0.019,1100
1779519246509,ask,0.02,60530
1779519246509,ask,0.021,20099.99
1779519246509,ask,0.022,5965
1779519246509,ask,0.023,400
1779519246509,ask,0.024,11269.33
1779519246509,ask,0.025,5795
1779519246509,ask,0.026,605
1779519246509,ask,0.027,200
1779519246509,ask,0.028,760.43
1779519246509,ask,0.029,6922.81
1779519246509,ask,0.03,7798.47
1779519246509,ask,0.031,6055
1779519246509,ask,0.032,7310
1779519246509,ask,0.034,5735.96
1779519246509,ask,0.035,609
1779519246509,ask,0.036,6200
1779519246509,ask,0.037,2222
1779519246509,ask,0.039,2922
1779519246509,ask,0.04,9005
1779519246509,ask,0.043,300
1779519246509,ask,0.044,999.99
1779519246509,ask,0.045,5800
1779519246509,ask,0.048,62
1779519246509,ask,0.049,4813.34
1779519246509,ask,0.05,7262.47
1779519246509,ask,0.051,145
1779519246509,ask,0.053,2222
1779519246509,ask,0.055,400
1779519246509,ask,0.058,2000
1779519246509,ask,0.059,4156.67
1779519246509,ask,0.06,30372.35
1779519246509,ask,0.064,5
1779519246509,ask,0.065,825
1779519246509,ask,0.07,1517
1779519246509,ask,0.071,383.46
1779519246509,ask,0.073,87
1779519246509,ask,0.074,47.61
1779519246509,ask,0.075,1000
1779519246509,ask,0.078,2156.68
1779519246509,ask,0.079,10000
1779519246509,ask,0.08,2172.85
1779519246509,ask,0.084,10000
1779519246509,ask,0.085,266.66
1779519246509,ask,0.089,500
1779519246509,ask,0.09,1653.25
1779519246509,ask,0.092,10000
1779519246509,ask,0.094,13000
1779519246509,ask,0.1,11758.72
1779519246509,ask,0.101,20000
1779519246509,ask,0.11,2168.53
1779519246509,ask,0.119,22493.21
1779519246509,ask,0.12,123036.39
1779519246509,ask,0.13,270533.57
1779519246509,ask,0.136,30
1779519246509,ask,0.15,40802.67
1779519246509,ask,0.16,800
1779519246509,ask,0.18,385.13
1779519246509,ask,0.198,1000
1779519246509,ask,0.199,10000
1779519246509,ask,0.2,10550.31
1779519246509,ask,0.24,100
1779519246509,ask,0.25,703
1779519246509,ask,0.3,9660.54
1779519246509,ask,0.31,168
1779519246509,ask,0.32,171.43
1779519246509,ask,0.35,123
1779519246509,ask,0.369,1000
1779519246509,ask,0.37,8595
1779519246509,ask,0.399,2000
1779519246509,ask,0.4,30872.04
1779519246509,ask,0.488,64
1779519246509,ask,0.49,15475.64
1779519246509,ask,0.5,19257.03
1779519246509,ask,0.547,1324
1779519246509,ask,0.548,502.3
1779519246509,ask,0.549,5000
1779519246509,ask,0.563,274.58
1779519246509,ask,0.598,1000
1779519246509,ask,0.6,26800
1779519246509,ask,0.641,423.39
1779519246509,ask,0.69,391
1779519246509,ask,0.699,500
1779519246509,ask,0.7,36482
1779519246509,ask,0.706,517
1779519246509,ask,0.744,128
1779519246509,ask,0.75,3149
1779519246509,ask,0.752,120.96
1779519246509,ask,0.78,62.5
1779519246509,ask,0.79,958
1779519246509,ask,0.791,497.6
1779519246509,ask,0.799,1000
1779519246509,ask,0.8,76287.5
1779519246509,ask,0.82,46.87
1779519246509,ask,0.85,1292
1779519246509,ask,0.87,597
1779519246509,ask,0.872,256
1779519246509,ask,0.879,1000
1779519246509,ask,0.88,58462.62
1779519246509,ask,0.89,1834
1779519246509,ask,0.9,14825
1779519246509,ask,0.92,71.43
1779519246509,ask,0.929,800
1779519246509,ask,0.93,55700.67
1779519246509,ask,0.936,1024
1779519246509,ask,0.949,10000
1779519246509,ask,0.95,108544.4
1779519246509,ask,0.968,2048
1779519246509,ask,0.98,10075
1779519246509,ask,0.983,109800
1779519246509,ask,0.984,4096
1779519246509,ask,0.989,10000
1779519246509,ask,0.99,10181.42
1779519246509,ask,0.991,120000
1779519246509,ask,0.992,241192
1779519246509,ask,0.995,30000
1779519246509,ask,0.996,32768
1779519246509,ask,0.997,10000
1779519246509,ask,0.998,65536
1779519246509,ask,0.999,406712
1779519386013,bid,0.005,121855.2
1779519386013,bid,0.004,133946.28
1779519386013,bid,0.003,325928.05
1779519386013,bid,0.002,315681.18
1779519386013,bid,0.001,998980.43
1779519386013,ask,0.006,123908.79
1779519386013,ask,0.007,167075.59
1779519386013,ask,0.008,79558.8
1779519386013,ask,0.009,126488.58
1779519386013,ask,0.01,36465.36
1779519386013,ask,0.011,5657.24
1779519386013,ask,0.012,24338.12
1779519386013,ask,0.013,47673.57
1779519386013,ask,0.014,56455
1779519386013,ask,0.015,4620.84
1779519386013,ask,0.016,56955
1779519386013,ask,0.017,114210
1779519386013,ask,0.018,500
1779519386013,ask,0.019,1100
1779519386013,ask,0.02,60530
1779519386013,ask,0.021,20099.99
1779519386013,ask,0.022,5965
1779519386013,ask,0.023,400
1779519386013,ask,0.024,11269.33
1779519386013,ask,0.025,5795
1779519386013,ask,0.026,605
1779519386013,ask,0.027,200
1779519386013,ask,0.028,760.43
1779519386013,ask,0.029,6922.81
1779519386013,ask,0.03,7798.47
1779519386013,ask,0.031,6055
1779519386013,ask,0.032,7310
1779519386013,ask,0.034,5735.96
1779519386013,ask,0.035,609
1779519386013,ask,0.036,6200
1779519386013,ask,0.037,2222
1779519386013,ask,0.039,2922
1779519386013,ask,0.04,9005
1779519386013,ask,0.043,300
1779519386013,ask,0.044,999.99
1779519386013,ask,0.045,5800
1779519386013,ask,0.048,62
1779519386013,ask,0.049,4813.34
1779519386013,ask,0.05,7262.47
1779519386013,ask,0.051,145
1779519386013,ask,0.053,2222
1779519386013,ask,0.055,400
1779519386013,ask,0.058,2000
1779519386013,ask,0.059,4156.67
1779519386013,ask,0.06,30372.35
1779519386013,ask,0.064,5
1779519386013,ask,0.065,825
1779519386013,ask,0.07,1517
1779519386013,ask,0.071,383.46
1779519386013,ask,0.073,87
1779519386013,ask,0.074,47.61
1779519386013,ask,0.075,1000
1779519386013,ask,0.078,2156.68
1779519386013,ask,0.079,10000
1779519386013,ask,0.08,2172.85
1779519386013,ask,0.084,10000
1779519386013,ask,0.085,266.66
1779519386013,ask,0.089,500
1779519386013,ask,0.09,1653.25
1779519386013,ask,0.092,10000
1779519386013,ask,0.094,13000
1779519386013,ask,0.1,11758.72
1779519386013,ask,0.101,20000
1779519386013,ask,0.11,2168.53
1779519386013,ask,0.119,22493.21
1779519386013,ask,0.12,123036.39
1779519386013,ask,0.13,270533.57
1779519386013,ask,0.136,30
1779519386013,ask,0.15,40802.67
1779519386013,ask,0.16,800
1779519386013,ask,0.18,385.13
1779519386013,ask,0.198,1000
1779519386013,ask,0.199,10000
1779519386013,ask,0.2,10550.31
1779519386013,ask,0.24,100
1779519386013,ask,0.25,703
1779519386013,ask,0.3,9660.54
1779519386013,ask,0.31,168
1779519386013,ask,0.32,171.43
1779519386013,ask,0.35,123
1779519386013,ask,0.369,1000
1779519386013,ask,0.37,8595
1779519386013,ask,0.399,2000
1779519386013,ask,0.4,30872.04
1779519386013,ask,0.488,64
1779519386013,ask,0.49,15475.64
1779519386013,ask,0.5,18417.03
1779519386013,ask,0.547,1324
1779519386013,ask,0.548,502.3
1779519386013,ask,0.549,5000
1779519386013,ask,0.563,274.58
1779519386013,ask,0.598,1000
1779519386013,ask,0.6,25700
1779519386013,ask,0.641,423.39
1779519386013,ask,0.69,391
1779519386013,ask,0.699,500
1779519386013,ask,0.7,35216
1779519386013,ask,0.706,517
1779519386013,ask,0.744,128
1779519386013,ask,0.75,3149
1779519386013,ask,0.752,120.96
1779519386013,ask,0.78,62.5
1779519386013,ask,0.79,958
1779519386013,ask,0.791,497.6
1779519386013,ask,0.799,1000
1779519386013,ask,0.8,76287.5
1779519386013,ask,0.82,46.87
1779519386013,ask,0.85,1292
1779519386013,ask,0.87,597
1779519386013,ask,0.872,256
1779519386013,ask,0.879,1000
1779519386013,ask,0.88,58462.62
1779519386013,ask,0.89,1834
1779519386013,ask,0.9,14825
1779519386013,ask,0.92,71.43
1779519386013,ask,0.929,800
1779519386013,ask,0.93,55700.67
1779519386013,ask,0.936,1024
1779519386013,ask,0.949,10000
1779519386013,ask,0.95,108544.4
1779519386013,ask,0.968,2048
1779519386013,ask,0.98,10075
1779519386013,ask,0.983,109800
1779519386013,ask,0.984,4096
1779519386013,ask,0.989,10000
1779519386013,ask,0.99,10181.42
1779519386013,ask,0.991,120000
1779519386013,ask,0.992,241192
1779519386013,ask,0.995,30000
1779519386013,ask,0.996,32768
1779519386013,ask,0.997,10000
1779519386013,ask,0.998,65536
1779519386013,ask,0.999,406712
1779519502319,bid,0.005,121862.74
1779519502319,bid,0.004,133946.28
1779519502319,bid,0.003,325928.05
1779519502319,bid,0.002,315681.18
1779519502319,bid,0.001,998980.43
1779519502319,ask,0.006,123908.79
1779519502319,ask,0.007,167075.59
1779519502319,ask,0.008,79558.8
1779519502319,ask,0.009,126488.58
1779519502319,ask,0.01,36465.36
1779519502319,ask,0.011,5657.24
1779519502319,ask,0.012,24338.12
1779519502319,ask,0.013,47673.57
1779519502319,ask,0.014,56455
1779519502319,ask,0.015,4620.84
1779519502319,ask,0.016,56955
1779519502319,ask,0.017,114210
1779519502319,ask,0.018,500
1779519502319,ask,0.019,1100
1779519502319,ask,0.02,60530
1779519502319,ask,0.021,20099.99
1779519502319,ask,0.022,5965
1779519502319,ask,0.023,400
1779519502319,ask,0.024,11269.33
1779519502319,ask,0.025,5795
1779519502319,ask,0.026,605
1779519502319,ask,0.027,200
1779519502319,ask,0.028,760.43
1779519502319,ask,0.029,6922.81
1779519502319,ask,0.03,7798.47
1779519502319,ask,0.031,6055
1779519502319,ask,0.032,7310
1779519502319,ask,0.034,5735.96
1779519502319,ask,0.035,609
1779519502319,ask,0.036,6200
1779519502319,ask,0.037,2222
1779519502319,ask,0.039,2922
1779519502319,ask,0.04,9005
1779519502319,ask,0.043,300
1779519502319,ask,0.044,999.99
1779519502319,ask,0.045,5800
1779519502319,ask,0.048,62
1779519502319,ask,0.049,4813.34
1779519502319,ask,0.05,7262.47
1779519502319,ask,0.051,145
1779519502319,ask,0.053,2222
1779519502319,ask,0.055,400
1779519502319,ask,0.058,2000
1779519502319,ask,0.059,4156.67
1779519502319,ask,0.06,30329.35
1779519502319,ask,0.064,48
1779519502319,ask,0.065,825
1779519502319,ask,0.07,1517
1779519502319,ask,0.071,383.46
1779519502319,ask,0.073,87
1779519502319,ask,0.074,47.61
1779519502319,ask,0.075,1000
1779519502319,ask,0.078,2156.68
1779519502319,ask,0.079,10000
1779519502319,ask,0.08,2172.85
1779519502319,ask,0.084,10000
1779519502319,ask,0.085,266.66
1779519502319,ask,0.089,500
1779519502319,ask,0.09,1653.25
1779519502319,ask,0.092,10000
1779519502319,ask,0.094,13000
1779519502319,ask,0.1,4758.72
1779519502319,ask,0.101,20000
1779519502319,ask,0.11,2168.53
1779519502319,ask,0.119,22493.21
1779519502319,ask,0.12,123036.39
1779519502319,ask,0.13,270533.57
1779519502319,ask,0.136,30
1779519502319,ask,0.15,40802.67
1779519502319,ask,0.16,800
1779519502319,ask,0.18,385.13
1779519502319,ask,0.198,1000
1779519502319,ask,0.199,10000
1779519502319,ask,0.2,10550.31
1779519502319,ask,0.24,100
1779519502319,ask,0.25,703
1779519502319,ask,0.3,9660.54
1779519502319,ask,0.31,168
1779519502319,ask,0.32,171.43
1779519502319,ask,0.35,123
1779519502319,ask,0.369,1000
1779519502319,ask,0.37,8595
1779519502319,ask,0.399,2000
1779519502319,ask,0.4,30872.04
1779519502319,ask,0.488,64
1779519502319,ask,0.49,15475.64
1779519502319,ask,0.5,19257.03
1779519502319,ask,0.547,1324
1779519502319,ask,0.548,502.3
1779519502319,ask,0.549,5000
1779519502319,ask,0.563,274.58
1779519502319,ask,0.598,1000
1779519502319,ask,0.6,26800
1779519502319,ask,0.641,423.39
1779519502319,ask,0.69,391
1779519502319,ask,0.699,500
1779519502319,ask,0.7,36482
1779519502319,ask,0.706,517
1779519502319,ask,0.744,128
1779519502319,ask,0.75,3149
1779519502319,ask,0.752,120.96
1779519502319,ask,0.78,62.5
1779519502319,ask,0.79,958
1779519502319,ask,0.791,497.6
1779519502319,ask,0.799,1000
1779519502319,ask,0.8,76287.5
1779519502319,ask,0.82,46.87
1779519502319,ask,0.85,1292
1779519502319,ask,0.87,597
1779519502319,ask,0.872,256
1779519502319,ask,0.879,1000
1779519502319,ask,0.88,58462.62
1779519502319,ask,0.89,1834
1779519502319,ask,0.9,14825
1779519502319,ask,0.92,71.43
1779519502319,ask,0.929,800
1779519502319,ask,0.93,55700.67
1779519502319,ask,0.936,1024
1779519502319,ask,0.949,10000
1779519502319,ask,0.95,108544.4
1779519502319,ask,0.968,2048
1779519502319,ask,0.98,10075
1779519502319,ask,0.983,109800
1779519502319,ask,0.984,4096
1779519502319,ask,0.989,10000
1779519502319,ask,0.99,10181.42
1779519502319,ask,0.991,120000
1779519502319,ask,0.992,241192
1779519502319,ask,0.995,30000
1779519502319,ask,0.996,32768
1779519502319,ask,0.997,10000
1779519502319,ask,0.998,65536
1779519502319,ask,0.999,406712
1779519854319,bid,0.005,119360.72
1779519854319,bid,0.004,133946.28
1779519854319,bid,0.003,325928.05
1779519854319,bid,0.002,315681.18
1779519854319,bid,0.001,998980.43
1779519854319,ask,0.006,119356.71
1779519854319,ask,0.007,167066.09
1779519854319,ask,0.008,79558.8
1779519854319,ask,0.009,126488.58
1779519854319,ask,0.01,36465.36
1779519854319,ask,0.011,5657.24
1779519854319,ask,0.012,24338.12
1779519854319,ask,0.013,47673.57
1779519854319,ask,0.014,56455
1779519854319,ask,0.015,4620.84
1779519854319,ask,0.016,56955
1779519854319,ask,0.017,114210
1779519854319,ask,0.018,500
1779519854319,ask,0.019,1100
1779519854319,ask,0.02,60530
1779519854319,ask,0.021,20099.99
1779519854319,ask,0.022,5965
1779519854319,ask,0.023,400
1779519854319,ask,0.024,11269.33
1779519854319,ask,0.025,5795
1779519854319,ask,0.026,605
1779519854319,ask,0.027,200
1779519854319,ask,0.028,760.43
1779519854319,ask,0.029,6922.81
1779519854319,ask,0.03,7798.47
1779519854319,ask,0.031,6055
1779519854319,ask,0.032,7310
1779519854319,ask,0.034,5735.96
1779519854319,ask,0.035,609
1779519854319,ask,0.036,6200
1779519854319,ask,0.037,2222
1779519854319,ask,0.039,2922
1779519854319,ask,0.04,9005
1779519854319,ask,0.043,300
1779519854319,ask,0.044,999.99
1779519854319,ask,0.045,5800
1779519854319,ask,0.048,62
1779519854319,ask,0.049,4813.34
1779519854319,ask,0.05,7262.47
1779519854319,ask,0.051,145
1779519854319,ask,0.053,2222
1779519854319,ask,0.055,400
1779519854319,ask,0.058,2000
1779519854319,ask,0.059,4156.67
1779519854319,ask,0.06,30329.35
1779519854319,ask,0.064,48
1779519854319,ask,0.065,825
1779519854319,ask,0.07,1430
1779519854319,ask,0.071,383.46
1779519854319,ask,0.073,87
1779519854319,ask,0.074,47.61
1779519854319,ask,0.075,1000
1779519854319,ask,0.078,2156.68
1779519854319,ask,0.079,10000
1779519854319,ask,0.08,2172.85
1779519854319,ask,0.084,10000
1779519854319,ask,0.085,266.66
1779519854319,ask,0.089,500
1779519854319,ask,0.09,1653.25
1779519854319,ask,0.092,10000
1779519854319,ask,0.094,13000
1779519854319,ask,0.1,4758.72
1779519854319,ask,0.101,20000
1779519854319,ask,0.11,2168.53
1779519854319,ask,0.119,22493.21
1779519854319,ask,0.12,123036.39
1779519854319,ask,0.13,270533.57
1779519854319,ask,0.136,30
1779519854319,ask,0.15,40802.67
1779519854319,ask,0.16,800
1779519854319,ask,0.18,385.13
1779519854319,ask,0.198,1000
1779519854319,ask,0.199,10000
1779519854319,ask,0.2,10550.31
1779519854319,ask,0.24,100
1779519854319,ask,0.25,703
1779519854319,ask,0.3,9660.54
1779519854319,ask,0.31,168
1779519854319,ask,0.32,171.43
1779519854319,ask,0.35,123
1779519854319,ask,0.369,1000
1779519854319,ask,0.37,8595
1779519854319,ask,0.399,2000
1779519854319,ask,0.4,30872.04
1779519854319,ask,0.488,64
1779519854319,ask,0.49,15475.64
